Eastern Conference,W/L%,win%
Miami Heat*,0.671,8
New York Knicks*,0.524,14
New Jersey Nets*,0.524,15
Washington Wizards,0.512,16
Orlando Magic,0.5,17
Boston Celtics,0.439,20
Philadelphia 76ers,0.378,22
Chicago Bulls*,0.756,1
Indiana Pacers*,0.707,5
Charlotte Hornets*,0.622,9
Atlanta Hawks*,0.61,10
Cleveland Cavaliers*,0.573,11
Detroit Pistons,0.451,19
Milwaukee Bucks,0.439,21
Toronto Raptors,0.195,28
Utah Jazz*,0.756,2
San Antonio Spurs*,0.683,6
Minnesota Timberwolves*,0.549,13
Houston Rockets*,0.5,18
Dallas Mavericks,0.244,24
Vancouver Grizzlies,0.232,25
Denver Nuggets,0.134,29
Seattle SuperSonics*,0.744,3
Los Angeles Lakers*,0.744,4
Phoenix Suns*,0.683,7
Portland Trail Blazers*,0.561,12
Sacramento Kings,0.329,23
Golden State Warriors,0.232,26
Los Angeles Clippers,0.207,27
