Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
San Antonio Spurs*,49.8,25.2,80.1,14.1,30.7,28.4,9.4,4.1
Los Angeles Lakers*,52.9,20.0,77.5,13.2,32.4,29.4,9.4,6.7
Cleveland Cavaliers,47.4,19.3,77.2,15.9,29.0,25.7,9.3,4.2
New York Knicks,49.6,22.0,74.7,15.1,28.1,27.6,10.7,5.6
Boston Celtics*,49.0,38.4,77.9,15.0,30.0,26.8,9.9,3.8
Indiana Pacers,47.3,28.0,75.1,17.0,28.4,26.2,11.0,6.5
Phoenix Suns*,49.3,24.3,77.3,13.1,30.0,27.8,11.1,4.2
Houston Rockets*,48.0,27.4,76.6,17.0,27.0,26.2,9.5,4.5
Milwaukee Bucks*,48.8,32.3,76.4,15.2,29.2,27.8,9.5,6.2
Philadelphia 76ers*,49.2,21.6,77.2,14.5,32.1,27.1,9.7,8.0
Detroit Pistons,48.0,26.0,74.0,15.0,29.5,23.8,9.5,6.9
Seattle SuperSonics*,47.0,31.2,76.8,16.8,31.1,24.9,9.1,5.2
New Jersey Nets,46.1,28.5,78.2,15.0,30.9,25.5,10.6,7.1
Denver Nuggets,46.3,32.5,73.7,16.0,30.8,25.4,9.1,4.9
Kansas City Kings*,47.8,21.9,74.3,14.5,29.6,25.9,10.5,4.3
San Diego Clippers,47.0,32.6,73.6,15.8,28.1,20.6,8.1,3.5
Chicago Bulls,48.4,25.5,77.9,13.6,30.1,26.2,8.6,4.8
Washington Bullets*,45.8,30.7,75.8,16.3,33.2,26.8,6.5,5.4
Atlanta Hawks*,46.4,17.3,77.1,16.7,29.3,23.3,9.5,6.6
Golden State Warriors,48.2,22.3,73.8,14.1,29.7,24.7,9.5,4.1
Portland Trail Blazers*,47.6,19.7,74.3,15.8,29.4,23.1,8.6,5.8
Utah Jazz,49.6,31.9,80.9,11.8,28.8,24.5,8.0,4.4
