Eastern Conference,W/L%,win%
Boston Celtics*,0.744,1
Philadelphia 76ers*,0.72,3
Washington Bullets*,0.476,11
New York Knicks,0.476,12
New Jersey Nets,0.415,17
Atlanta Hawks*,0.61,6
Houston Rockets*,0.5,9
San Antonio Spurs*,0.5,10
Indiana Pacers,0.451,14
Cleveland Cavaliers,0.451,15
Detroit Pistons,0.195,22
Milwaukee Bucks*,0.598,7
Kansas City Kings*,0.573,8
Denver Nuggets,0.366,18
Chicago Bulls,0.366,19
Utah Jazz,0.293,20
Los Angeles Lakers*,0.732,2
Seattle SuperSonics*,0.683,4
Phoenix Suns*,0.671,5
Portland Trail Blazers*,0.463,13
San Diego Clippers,0.427,16
Golden State Warriors,0.293,21
