Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,52.0,26.8,79.6,14.0,29.8,27.7,8.1,4.5
Los Angeles Lakers*,51.7,13.8,71.7,15.3,30.5,28.7,10.3,6.3
San Antonio Spurs*,48.6,25.4,77.6,15.3,30.9,27.5,7.3,6.8
Boston Celtics*,49.9,26.6,74.0,15.3,30.4,25.9,8.0,6.9
Philadelphia 76ers*,51.8,29.5,74.7,12.6,29.1,27.6,10.4,7.6
Detroit Pistons,48.2,24.4,75.1,15.8,28.6,24.7,9.0,6.9
Golden State Warriors,49.6,28.0,71.7,15.6,29.9,22.2,8.4,4.8
Utah Jazz,49.4,22.7,75.1,14.0,28.8,23.1,8.5,4.4
Portland Trail Blazers,50.5,20.7,72.0,13.9,28.7,25.0,8.6,4.5
San Diego Clippers,50.0,29.3,72.3,13.8,26.8,22.9,7.8,3.6
Milwaukee Bucks*,50.5,29.9,75.3,14.2,29.5,27.2,9.3,5.5
Seattle SuperSonics*,48.8,24.8,74.0,13.5,31.0,25.6,8.4,5.6
Kansas City Kings,49.5,20.0,71.9,13.2,27.8,25.1,9.1,4.9
New Jersey Nets*,48.4,20.5,72.8,14.6,28.3,25.6,11.2,5.9
Chicago Bulls,50.1,25.4,76.7,13.7,30.8,24.9,7.1,5.9
New York Knicks,49.1,27.1,73.8,14.2,27.7,25.3,8.8,4.1
Phoenix Suns*,49.1,31.0,75.8,13.7,30.7,27.1,9.2,5.2
Houston Rockets*,47.6,28.4,72.9,17.1,27.9,24.1,7.9,5.2
Dallas Mavericks,46.9,28.9,73.5,14.8,27.2,25.8,6.9,3.8
Washington Bullets*,47.4,25.0,77.2,12.8,31.5,24.2,7.8,4.8
Cleveland Cavaliers,46.4,18.2,74.7,14.5,26.5,22.8,7.7,4.4
Indiana Pacers,46.5,32.6,74.1,13.9,28.9,23.1,9.2,6.0
Atlanta Hawks*,47.4,21.9,76.8,13.8,28.9,22.1,7.4,5.9
