Eastern Conference,W/L%,win%
Boston Celtics*,0.768,1
Philadelphia 76ers*,0.707,2
New Jersey Nets*,0.537,11
Washington Bullets*,0.524,12
New York Knicks,0.402,18
Milwaukee Bucks*,0.671,4
Atlanta Hawks*,0.512,13
Detroit Pistons,0.476,15
Indiana Pacers,0.427,16
Chicago Bulls,0.415,17
Cleveland Cavaliers,0.183,23
San Antonio Spurs*,0.585,6
Denver Nuggets*,0.561,7
Houston Rockets*,0.561,8
Kansas City Kings,0.366,19
Dallas Mavericks,0.341,20
Utah Jazz,0.305,21
Los Angeles Lakers*,0.695,3
Seattle SuperSonics*,0.634,5
Phoenix Suns*,0.561,9
Golden State Warriors,0.549,10
Portland Trail Blazers,0.512,14
San Diego Clippers,0.207,22
