Eastern Conference,W/L%,win%
New Jersey Nets*,0.634,5
Boston Celtics*,0.598,8
Orlando Magic*,0.537,11
Philadelphia 76ers*,0.524,14
Washington Wizards,0.451,19
Miami Heat,0.439,20
New York Knicks,0.366,23
Detroit Pistons*,0.61,6
Charlotte Hornets*,0.537,12
Toronto Raptors*,0.512,15
Indiana Pacers*,0.512,16
Milwaukee Bucks,0.5,17
Atlanta Hawks,0.402,22
Cleveland Cavaliers,0.354,24
Chicago Bulls,0.256,28
San Antonio Spurs*,0.707,2
Dallas Mavericks*,0.695,4
Minnesota Timberwolves*,0.61,7
Utah Jazz*,0.537,13
Houston Rockets,0.341,25
Denver Nuggets,0.329,26
Memphis Grizzlies,0.28,27
Sacramento Kings*,0.744,1
Los Angeles Lakers*,0.707,3
Portland Trail Blazers*,0.598,9
Seattle SuperSonics*,0.549,10
Los Angeles Clippers,0.476,18
Phoenix Suns,0.439,21
Golden State Warriors,0.256,29
