Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Dallas Mavericks*,46.2,37.8,80.6,11.2,31.3,22.1,7.1,4.8
Sacramento Kings*,46.7,36.7,75.1,12.4,33.0,23.9,9.0,4.6
Los Angeles Lakers*,46.1,35.4,69.9,12.5,31.8,23.0,7.6,5.8
Orlando Magic*,44.8,37.3,75.4,11.5,29.8,22.0,8.1,4.7
Minnesota Timberwolves*,46.1,37.8,79.8,12.9,31.2,24.3,6.4,5.2
Golden State Warriors,42.9,32.2,72.2,16.3,30.4,20.8,7.9,6.4
Seattle SuperSonics*,46.9,37.8,75.5,11.8,28.5,23.5,8.5,4.4
Milwaukee Bucks,46.2,37.5,74.8,10.3,31.2,22.5,7.3,4.7
Indiana Pacers*,44.6,33.9,77.2,11.3,31.3,23.0,8.0,5.3
San Antonio Spurs*,45.8,36.2,74.2,11.1,31.3,20.0,7.6,6.5
Portland Trail Blazers*,45.0,35.4,76.3,13.2,29.8,23.5,8.6,4.5
Boston Celtics*,42.4,35.9,76.4,10.9,31.3,21.0,9.7,3.6
New Jersey Nets*,44.6,33.8,73.5,12.7,30.7,24.3,8.7,6.0
Utah Jazz*,45.0,33.3,76.3,13.5,28.6,24.4,9.1,6.4
Los Angeles Clippers,44.5,35.6,73.9,13.2,30.2,20.9,6.2,6.6
Cleveland Cavaliers,44.8,37.7,77.2,11.8,30.3,23.1,7.0,5.7
Phoenix Suns,44.7,32.7,76.7,13.1,29.6,22.4,8.1,4.9
Detroit Pistons*,45.2,37.6,75.6,9.9,28.9,21.5,7.9,6.9
Atlanta Hawks,43.9,35.4,76.5,11.6,29.8,20.2,8.1,4.3
Charlotte Hornets*,44.0,34.8,74.5,12.9,30.5,21.5,8.0,5.6
Washington Wizards,44.1,38.8,76.5,12.9,29.2,20.9,7.0,4.3
Houston Rockets,42.8,33.5,74.1,12.5,29.4,18.1,6.5,5.4
Denver Nuggets,42.4,32.9,74.4,13.6,28.2,22.2,7.5,5.6
New York Knicks,43.2,35.3,78.7,10.7,30.0,21.0,6.8,3.5
Toronto Raptors*,43.4,34.9,73.9,13.6,28.5,21.7,8.4,5.5
Philadelphia 76ers*,43.6,29.9,77.9,13.3,30.9,20.0,8.6,4.4
Memphis Grizzlies,43.6,30.7,70.8,12.0,29.4,21.8,7.9,6.0
Chicago Bulls,43.3,34.6,72.2,11.3,28.8,22.2,7.7,4.4
Miami Heat,43.9,34.7,72.4,11.0,31.0,20.3,6.7,5.5
