Eastern Conference,W/L%,win%
Milwaukee Bucks*,0.767,1
Toronto Raptors*,0.736,2
Boston Celtics*,0.667,5
Indiana Pacers*,0.616,7
Miami Heat*,0.603,11
Philadelphia 76ers*,0.589,12
Brooklyn Nets*,0.486,14
Orlando Magic*,0.452,18
Charlotte Hornets,0.354,22
Washington Wizards,0.347,23
Chicago Bulls,0.338,24
New York Knicks,0.318,25
Detroit Pistons,0.303,26
Atlanta Hawks,0.299,27
Cleveland Cavaliers,0.292,29
Los Angeles Lakers*,0.732,3
Los Angeles Clippers*,0.681,4
Denver Nuggets*,0.63,6
Houston Rockets*,0.611,8
Oklahoma City Thunder*,0.611,9
Utah Jazz*,0.611,10
Dallas Mavericks*,0.573,13
Portland Trail Blazers*,0.473,15
Memphis Grizzlies,0.466,16
Phoenix Suns,0.466,17
San Antonio Spurs,0.451,19
Sacramento Kings,0.431,20
New Orleans Pelicans,0.417,21
Minnesota Timberwolves,0.297,28
Golden State Warriors,0.231,30
