Eastern Conference,W/L%,win%
Orlando Magic*,0.695,4
New York Knicks*,0.671,6
Boston Celtics*,0.427,18
Miami Heat,0.39,20
New Jersey Nets,0.366,21
Philadelphia 76ers,0.293,24
Washington Bullets,0.256,25
Indiana Pacers*,0.634,7
Charlotte Hornets*,0.61,8
Chicago Bulls*,0.573,10
Cleveland Cavaliers*,0.524,13
Atlanta Hawks*,0.512,14
Milwaukee Bucks,0.415,19
Detroit Pistons,0.341,22
San Antonio Spurs*,0.756,1
Utah Jazz*,0.732,2
Houston Rockets*,0.573,11
Denver Nuggets*,0.5,15
Dallas Mavericks,0.439,17
Minnesota Timberwolves,0.256,26
Phoenix Suns*,0.72,3
Seattle SuperSonics*,0.695,5
Los Angeles Lakers*,0.585,9
Portland Trail Blazers*,0.537,12
Sacramento Kings,0.476,16
Golden State Warriors,0.317,23
Los Angeles Clippers,0.207,27
