Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Orlando Magic*,50.2,37.0,66.9,14.0,30.0,27.8,8.2,6.0
Phoenix Suns*,48.2,36.9,75.6,12.5,29.3,26.8,8.4,3.8
Seattle SuperSonics*,49.1,37.6,75.8,13.0,28.5,25.8,11.2,4.8
San Antonio Spurs*,48.4,37.5,73.8,12.5,32.5,23.4,8.0,5.6
Utah Jazz*,51.2,37.6,78.1,10.7,29.4,27.5,9.2,4.8
Golden State Warriors,46.8,34.1,70.4,13.4,28.9,24.6,7.9,4.8
Los Angeles Lakers*,46.3,35.2,73.5,13.7,28.2,25.3,9.1,6.9
Houston Rockets*,48.0,36.8,74.9,10.7,29.8,25.1,8.8,6.3
Dallas Mavericks,44.0,32.2,73.4,18.5,29.7,23.7,7.1,4.2
Portland Trail Blazers*,45.1,36.5,69.7,16.5,29.8,22.5,8.1,5.7
Boston Celtics*,46.4,36.8,75.3,14.1,28.3,21.7,7.5,4.4
Chicago Bulls*,47.6,37.3,72.6,13.5,28.0,24.0,9.7,4.3
Denver Nuggets*,47.9,35.6,73.8,12.7,29.3,22.4,8.0,7.1
Miami Heat,46.7,36.9,73.6,13.3,27.7,21.7,8.1,3.6
Charlotte Hornets*,47.4,39.7,77.7,10.1,29.2,25.3,7.6,4.9
Washington Bullets,46.0,34.3,72.4,12.7,27.1,21.3,7.9,4.9
Milwaukee Bucks,45.9,36.6,71.2,13.0,26.7,21.2,8.2,4.4
Indiana Pacers*,47.7,38.0,75.1,12.8,27.9,22.9,8.6,4.4
New York Knicks*,46.7,36.8,73.4,11.3,30.2,25.1,7.2,4.7
Sacramento Kings,46.8,34.6,71.1,13.1,28.4,22.2,7.9,5.6
Detroit Pistons,46.1,35.4,74.1,11.7,26.9,22.8,8.6,5.1
New Jersey Nets,43.6,31.9,75.9,14.8,31.3,23.0,6.6,6.7
Los Angeles Clippers,44.4,31.5,71.0,13.0,25.3,22.0,9.6,5.3
Atlanta Hawks*,44.7,34.1,72.4,13.5,27.7,21.4,9.0,5.0
Philadelphia 76ers,44.8,37.9,73.7,13.5,27.2,19.1,7.8,7.0
Minnesota Timberwolves,44.9,31.3,77.5,10.8,25.5,21.7,7.4,4.9
Cleveland Cavaliers*,44.1,38.5,76.0,12.7,27.3,20.4,7.7,4.3
