Eastern Conference,W/L%,win%
Toronto Raptors*,0.598,11
Boston Celtics*,0.488,16
Brooklyn Nets*,0.463,18
Philadelphia 76ers,0.22,28
New York Knicks,0.207,29
Cleveland Cavaliers*,0.646,7
Chicago Bulls*,0.61,9
Milwaukee Bucks*,0.5,15
Indiana Pacers,0.463,19
Detroit Pistons,0.39,23
Atlanta Hawks*,0.732,2
Washington Wizards*,0.561,12
Miami Heat,0.451,21
Charlotte Hornets,0.402,22
Orlando Magic,0.305,26
Portland Trail Blazers*,0.622,8
Oklahoma City Thunder,0.549,13
Utah Jazz,0.463,20
Denver Nuggets,0.366,24
Minnesota Timberwolves,0.195,30
Golden State Warriors*,0.817,1
Los Angeles Clippers*,0.683,3
Phoenix Suns,0.476,17
Sacramento Kings,0.354,25
Los Angeles Lakers,0.256,27
Houston Rockets*,0.683,4
Memphis Grizzlies*,0.671,5
San Antonio Spurs*,0.671,6
Dallas Mavericks*,0.61,10
New Orleans Pelicans*,0.549,14
