Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors*,47.8,39.8,76.8,10.4,34.3,27.4,9.3,6.0
Los Angeles Clippers*,47.3,37.6,71.0,9.6,33.1,24.8,7.8,5.0
Dallas Mavericks*,46.3,35.2,75.2,10.5,31.8,22.5,8.1,4.5
Oklahoma City Thunder,44.7,33.9,75.4,12.8,34.7,20.5,7.3,5.5
Toronto Raptors*,45.5,35.2,78.7,10.7,30.8,20.7,7.5,4.4
Houston Rockets*,44.4,34.8,71.5,11.7,32.0,22.2,9.5,5.0
San Antonio Spurs*,46.8,36.7,78.0,9.8,33.8,24.4,8.0,5.4
Cleveland Cavaliers*,45.8,36.7,75.1,11.1,31.9,22.1,7.4,4.1
Portland Trail Blazers*,45.0,36.2,80.1,10.7,35.1,21.9,6.4,4.5
Atlanta Hawks*,46.6,38.0,77.8,8.7,31.8,25.7,9.1,4.6
Phoenix Suns,45.2,34.1,76.0,10.9,32.2,20.2,8.5,4.7
Denver Nuggets,43.3,32.5,73.4,12.3,32.4,21.8,7.8,4.5
Boston Celtics*,44.3,32.7,75.4,11.1,32.7,24.5,8.2,3.6
Sacramento Kings,45.5,34.1,76.2,10.9,33.3,20.3,6.7,4.0
Chicago Bulls*,44.2,35.3,78.3,11.7,34.0,21.7,6.3,5.8
New Orleans Pelicans*,45.7,37.0,75.1,11.5,32.0,22.0,6.7,6.2
Washington Wizards*,46.2,36.0,74.2,10.5,34.2,24.0,7.3,4.6
Los Angeles Lakers,43.5,34.4,74.1,11.6,32.3,20.9,7.0,4.5
Detroit Pistons,43.2,34.4,70.3,12.8,32.1,21.6,7.6,4.7
Memphis Grizzlies*,45.8,33.9,77.3,10.4,32.1,21.7,8.5,4.2
Brooklyn Nets*,45.1,33.1,74.8,10.3,32.0,20.9,7.0,4.1
Minnesota Timberwolves,43.8,33.2,77.6,11.6,29.3,21.6,8.1,4.0
Milwaukee Bucks*,45.9,36.3,75.7,10.7,31.4,23.6,9.6,4.9
Indiana Pacers,43.9,35.2,75.6,10.4,34.4,21.4,6.2,4.6
Orlando Magic,45.3,34.7,72.9,10.0,31.8,20.6,7.9,3.8
Utah Jazz,44.7,34.3,72.1,12.0,31.9,19.9,7.6,6.0
Miami Heat,45.6,33.5,74.1,9.1,30.0,19.8,7.8,4.5
Charlotte Hornets,42.0,31.8,74.8,10.0,34.1,20.2,6.1,5.5
Philadelphia 76ers,40.8,32.0,67.6,11.9,30.9,20.5,9.6,5.9
New York Knicks,42.8,34.7,76.9,10.6,29.8,21.3,7.0,4.7
