Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,47.6,38.8,76.5,9.6,32.3,22.1,7.4,4.3
New York Knicks*,45.7,36.8,80.9,10.3,30.1,21.4,7.6,5.8
Houston Rockets,45.4,36.7,80.1,11.7,31.1,23.8,7.1,4.5
Phoenix Suns,47.0,37.7,75.9,10.0,30.2,23.7,6.6,4.4
Oklahoma City Thunder*,46.4,34.7,82.3,11.0,31.8,20.4,8.0,5.9
San Antonio Spurs*,47.5,39.7,76.7,10.1,31.7,22.4,7.3,4.5
Golden State Warriors,46.1,39.2,76.1,11.6,28.9,22.5,9.0,5.0
Miami Heat*,48.1,37.0,76.9,9.6,32.5,20.0,6.6,5.2
Los Angeles Lakers*,46.3,35.2,77.9,12.1,31.9,22.0,7.3,5.1
Minnesota Timberwolves,44.1,37.6,76.8,13.2,31.2,20.1,7.2,5.1
Dallas Mavericks*,47.5,36.5,77.7,9.5,31.9,23.8,6.8,4.3
Memphis Grizzlies*,47.1,33.4,75.0,11.8,29.2,20.6,9.4,5.4
Indiana Pacers*,44.2,35.4,78.2,11.1,32.4,19.6,7.1,5.6
Utah Jazz,46.5,34.6,77.1,11.0,28.5,23.4,7.7,5.9
Sacramento Kings,44.9,33.5,73.4,13.1,30.8,20.4,7.4,4.8
Orlando Magic*,46.1,36.6,69.2,10.5,32.7,20.0,6.7,4.7
Toronto Raptors,46.5,31.6,75.5,11.7,28.6,21.9,7.1,4.3
Philadelphia 76ers*,46.1,35.5,77.0,10.4,31.4,22.7,7.6,4.3
Los Angeles Clippers,45.7,33.8,70.7,11.6,30.5,22.1,7.1,4.9
Chicago Bulls*,46.2,36.1,74.3,11.8,32.4,22.3,7.2,5.7
Washington Wizards,44.3,33.2,74.5,12.4,29.0,19.4,8.1,6.1
Detroit Pistons,46.0,37.6,73.7,11.4,27.3,21.1,7.3,4.0
Boston Celtics*,48.6,36.5,77.0,7.8,31.0,23.4,8.2,4.2
Portland Trail Blazers*,44.7,34.5,80.4,12.1,27.2,21.2,8.0,4.4
Cleveland Cavaliers,43.4,34.2,74.5,10.4,29.9,21.0,6.6,4.2
Atlanta Hawks*,46.2,35.2,77.9,9.3,30.0,22.0,6.1,4.2
New Orleans Hornets*,45.9,36.0,76.5,10.0,30.1,20.6,7.6,4.4
New Jersey Nets,44.0,34.3,75.9,11.1,29.8,21.0,5.6,4.7
Charlotte Bobcats,45.1,32.7,75.6,10.3,29.8,21.1,6.4,5.3
Milwaukee Bucks,43.0,34.2,75.7,10.5,30.2,18.8,7.5,4.9
