Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,49.4,19.0,80.8,14.8,30.8,28.5,9.6,4.3
Los Angeles Lakers*,52.8,10.4,73.6,15.1,29.7,30.7,10.3,5.8
San Antonio Spurs*,50.4,30.5,76.5,15.0,31.7,27.6,8.2,5.7
Kansas City Kings,49.7,23.7,72.7,15.3,29.4,26.3,9.3,5.0
Dallas Mavericks,48.7,23.2,75.2,15.8,29.0,27.2,6.7,4.2
Detroit Pistons,47.7,26.5,74.2,16.0,30.2,25.7,8.3,7.0
Boston Celtics*,49.2,21.0,73.7,15.5,30.9,27.0,9.6,6.4
Philadelphia 76ers*,49.9,22.9,74.2,16.3,31.7,24.6,9.9,7.0
Chicago Bulls,48.0,21.5,73.7,15.5,30.8,25.4,8.1,4.9
Seattle SuperSonics*,49.4,21.0,73.0,14.0,31.3,27.8,8.3,5.3
Utah Jazz,48.0,24.0,75.6,13.3,31.1,26.5,9.2,7.3
Indiana Pacers,48.0,21.2,75.8,15.8,28.0,26.2,9.2,5.0
Golden State Warriors,48.3,22.7,73.7,15.6,27.9,24.0,10.4,5.2
San Diego Clippers,47.5,24.4,72.4,17.0,25.7,25.5,10.0,5.0
Portland Trail Blazers*,48.6,23.3,73.8,14.4,29.0,24.8,9.1,4.7
Phoenix Suns*,49.7,25.3,74.3,13.3,30.7,28.0,9.1,6.0
Milwaukee Bucks*,48.9,21.9,75.3,13.4,30.2,25.8,8.1,6.5
New Jersey Nets*,49.2,20.1,70.5,15.4,29.6,26.1,11.1,7.2
Atlanta Hawks*,46.9,23.9,75.1,13.9,29.7,23.7,7.0,8.1
New York Knicks*,48.2,25.2,71.0,13.2,27.6,24.8,8.5,4.6
Houston Rockets,44.8,24.7,72.5,14.7,27.6,23.5,7.9,5.1
Washington Bullets,46.8,29.5,70.5,13.4,29.6,25.0,8.9,4.9
Cleveland Cavaliers,46.5,25.0,72.1,14.3,29.4,21.2,7.5,3.5
