Eastern Conference,W/L%,win%
Philadelphia 76ers*,0.793,1
Boston Celtics*,0.683,3
New Jersey Nets*,0.598,7
New York Knicks*,0.537,12
Washington Bullets,0.512,14
Milwaukee Bucks*,0.622,6
Atlanta Hawks*,0.524,13
Detroit Pistons,0.451,16
Chicago Bulls,0.341,19
Cleveland Cavaliers,0.28,21
Indiana Pacers,0.244,22
San Antonio Spurs*,0.646,4
Denver Nuggets*,0.549,10
Kansas City Kings,0.549,11
Dallas Mavericks,0.463,15
Utah Jazz,0.366,17
Houston Rockets,0.171,23
Los Angeles Lakers*,0.707,2
Phoenix Suns*,0.646,5
Seattle SuperSonics*,0.585,8
Portland Trail Blazers*,0.561,9
Golden State Warriors,0.366,18
San Diego Clippers,0.305,20
